,ra,dec,infobits,field,ccdid,qid,rcid,fid,filtercode,pid,nid,expid,itid,imgtype,imgtypecode,obsdate,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_pub_date,ipac_gid
11,117.80305137,40.0018379,0,707,5,2,17,1,zg,1575181461715,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.92322004,1.26300001,0.943064988,0,19.9659004,1536.5,1540.5,117.8031058147,40.00182495448,-0.0002811558914625,-9.058700599881e-06,9.042510136585e-06,-0.0002811405525315,118.38875489,40.41924692,117.25418431,40.44721643,117.22464723,39.58137199,118.34516016,39.55366613,2021-06-30 00:00:00+00,1
12,116.52885904,41.07457018,0,707,10,4,39,1,zg,1575181463915,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.99223006,1.26300001,0.943064988,0,19.9256992,1536.5,1540.5,116.528838414,41.07459265206,-0.0002812670274886,-4.996133472128e-06,4.959646009799e-06,-0.0002812549987844,117.11598357,41.49852587,115.96212068,41.51402678,115.94923651,40.64775406,117.08773476,40.63267324,2021-06-30 00:00:00+00,1
13,116.44497068,37.24433697,0,707,2,4,7,1,zg,1575181460715,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.95565999,1.26300001,0.943064988,0,19.8873005,1536.5,1540.5,116.444959239,37.24437780327,-0.0002812092614377,-4.546055601701e-06,4.555057838302e-06,-0.000281265110303,116.99951837,37.66912292,115.90789478,37.68330483,115.89671449,36.81696251,116.97540961,36.8032343,2021-06-30 00:00:00+00,1
14,115.38770318,41.95066233,0,707,10,2,37,1,zg,1575181463715,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.98550999,1.26300001,0.943064988,0,19.9531002,1536.5,1540.5,115.387703443,41.95062334746,-0.0002813063054297,-1.368077343083e-06,1.325722138262e-06,-0.0002813141018497,115.97546322,42.3803107,114.80573286,42.38421453,114.80791413,41.51802808,115.96211656,41.5140062,2021-06-30 00:00:00+00,1
15,110.52988491,39.9497195,0,707,8,2,29,1,zg,1575181462915,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.95845997,1.26300001,0.943064988,0,19.8481007,1536.5,1540.5,110.5299250017,39.94969308384,-0.0002808731565607,1.448013769895e-05,-1.455680625254e-05,-0.0002808252996981,111.06717314,40.40323956,109.93463855,40.35802572,109.99975389,39.49372719,111.1183722,39.53807038,2021-06-30 00:00:00+00,1
16,110.58731967,39.08472596,0,707,8,3,30,1,zg,1575181463015,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.93812001,1.26300001,0.943064988,0,19.8638,1536.5,1540.5,110.5873265885,39.08471963238,-0.0002808963499365,1.431668772064e-05,-1.428675343189e-05,-0.0002808316058864,111.11836894,39.53807757,109.99974269,39.49373932,110.06339522,38.6293228,111.16813645,38.67277395,2021-06-30 00:00:00+00,1
17,115.38230874,41.08423749,0,707,10,3,38,1,zg,1575181463815,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.97328997,1.26300001,0.943064988,0,19.9001999,1536.5,1540.5,115.3823666329,41.08427439218,-0.0002813120309939,-1.305051640395e-06,1.369574058241e-06,-0.0002813045707307,115.96213567,41.51401543,114.8079132,41.51805269,114.810374,40.65185107,115.94922113,40.64774635,2021-06-30 00:00:00+00,1
18,111.74802475,38.07690862,0,707,4,1,12,1,zg,1575181461215,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.97731996,1.26300001,0.943064988,0,19.8785992,1536.5,1540.5,111.7479831575,38.07689528421,-0.0002810902739782,9.841435680976e-06,-9.830732433521001e-06,-0.0002810723417031,112.28035584,38.5234192,111.17699721,38.49313326,111.22186983,37.62774681,112.31239714,37.65778433,2021-06-30 00:00:00+00,1
19,112.95629318,40.01882123,0,707,7,2,25,1,zg,1575181462515,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.92841005,1.26300001,0.943064988,0,19.9022007,1536.5,1540.5,112.9563079891,40.01881545291,-0.0002812408447801,6.769788881621e-06,-6.812798131762e-06,-0.0002812140309614,113.51033651,40.46097769,112.37517474,40.43973947,112.4094638,39.5740123,113.53054971,39.59475852,2021-06-30 00:00:00+00,1
20,111.78587227,37.21117884,0,707,4,4,15,1,zg,1575181461515,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.97413003,1.26300001,0.943064988,0,19.8377991,1536.5,1540.5,111.7858473119,37.21117651123,-0.000281058906232,9.623966620863e-06,-9.732774592324e-06,-0.0002810804071407,112.31238913,37.65780296,111.22186606,37.62773083,111.26548748,36.76226007,112.34325097,36.79207039,2021-06-30 00:00:00+00,1
21,115.37541582,40.03297645,0,707,6,2,21,1,zg,1575181462115,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.91872001,1.26300001,0.943064988,0,19.8892994,1536.5,1540.5,115.3754324956,40.03294491247,-0.0002812963006126,-1.342911463421e-06,1.322132849926e-06,-0.0002812995607376,115.94610141,40.46262228,114.8104575,40.46657226,114.81201428,39.60046485,115.93357457,39.59638416,2021-06-30 00:00:00+00,1
22,114.09771882,39.16790972,0,707,7,4,27,1,zg,1575181462715,1575,157518146,1,object,o,2021-04-25 04:21:19.131+00,2459329.6814699,30,20210425181458,1.88602996,1.26300001,0.943064988,0,19.9190006,1536.5,1540.5,114.0976892239,39.16796853528,-0.0002812803045318,3.19803287451e-06,-3.256234830388e-06,-0.0002812840669748,114.65206723,39.60470006,113.53054329,39.59475459,113.55016643,38.72860517,114.657642,38.73857838,2021-06-30 00:00:00+00,1
