,ra,dec,infobits,field,ccdid,qid,rcid,fid,pid,nid,expid,itid,obsjd,exptime,filefracday,seeing,airmass,moonillf,moonesb,maglimit,crpix1,crpix2,crval1,crval2,cd11,cd12,cd21,cd22,ra1,dec1,ra2,dec2,ra3,dec3,ra4,dec4,ipac_gid
count,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0,31446.0
mean,199.89787657521995,36.393754313686884,510049.6277745977,675.4841633276093,8.271067862367232,2.5174903008331744,30.601761750302106,1.5379062519875342,844314632710.1305,844.0,84431462.96342938,1.0,2458598.814634471,31.41194428544171,20190425314565.086,1.6933317663871263,1.2641554101198818,-0.6545190170335521,0.0,20.926126246902506,1536.5,1540.5,199.8978777952384,36.393755905305426,-0.0002809338238123722,-5.384107467142973e-07,5.491624863612519e-07,-0.0002809407133852748,200.5776691684985,36.82383298585453,199.22138374093265,36.82551683063477,199.23216459378662,35.96036393987669,200.56029001545056,35.958723560676226,1.9309610125294154
std,51.404798678879104,25.071826087887214,4074650.526525518,153.12542762369034,4.486262551260371,1.1198476876439374,18.030415339705126,0.49856897291617,102289786.04616614,0.0,10228.97395612465,0.0,0.10228978612901354,17.244336421391896,102224.69170870446,0.17380748664006868,0.23555200313864358,0.0095513936697856,0.0,0.335732009676317,0.0,0.0,51.40479839380275,25.07182697147525,8.751522577847367e-07,1.3905527038879568e-05,1.3909443469320744e-05,8.820757260815461e-07,51.38243179151484,25.06918604349163,51.438642639317216,25.070561136478986,51.42663284924988,25.07176165401226,51.3750144090401,25.070422624904214,0.5946471448238765
min,68.96778903,-27.56087347,0.0,264.0,1.0,1.0,0.0,1.0,844140350115.0,844.0,84414035.0,1.0,2458598.6403588,20.0,20190425140266.0,1.15915,1.0,-0.670754015,0.0,16.5056992,1536.5,1540.5,68.96794765029,-27.56087788651,-0.0002821338756605,-8.557692302265998e-05,-8.530598553046e-05,-0.0002824548554724,70.42961737,-27.12848182,66.46036565,-27.12812369,67.62297754,-27.99505723,71.35914143,-27.99541616,1.0
25%,162.690665175,21.356543535,0.0,586.0,5.0,2.0,16.0,1.0,844233430815.0,844.0,84423343.0,1.0,2458598.7334375,30.0,20190425232998.0,1.5733824950000002,1.08899999,-0.662120998,0.0,20.7439003,1536.5,1540.5,162.690705850375,21.356554045637502,-0.000281271412281425,-6.793062056537e-06,-5.436182501518751e-06,-0.000281288482902975,163.43619551,21.7853068975,162.09965929,21.788363734999997,162.10019949,20.922343455,163.1961282975,20.91958231,2.0
50%,211.04330441500002,41.85868342,0.0,720.0,8.0,3.0,30.0,2.0,844312295265.0,844.0,84431229.0,1.0,2458598.8122917,30.0,20190425312269.0,1.70291996,1.20700002,-0.654769003,0.0,20.9531002,1536.5,1540.5,211.04328880085,41.858665553099996,-0.0002812075487511,-1.2652467448155e-07,1.3033384741505002e-07,-0.0002812174717958,211.778081625,42.296444565,210.25345736999998,42.301968615,210.31636558,41.43667323,211.78483826500002,41.431147685,2.0
75%,239.36477327,55.3233670675,0.0,791.0,12.0,4.0,46.0,2.0,844387912290.0,844.0,84438791.0,1.0,2458598.8879167,30.0,20190425387535.0,1.8294475074999998,1.37,-0.647670984,0.0,21.1653996,1536.5,1540.5,239.3647504251,55.3234152127525,-0.000280963001669575,5.44537610251475e-06,6.80626516223475e-06,-0.00028095879246085,239.944219375,55.7172585775,238.76810043,55.727612879999995,238.74547214,54.86539775,239.92777799249998,54.85500562,2.0
max,299.60839404,79.84926196,37748736.0,862.0,16.0,4.0,63.0,2.0,844506456315.0,844.0,84450645.0,1.0,2458599.0064583,300.0,20190425506065.0,1.99997997,2.43300009,-0.636552989,0.0,22.0011005,1536.5,1540.5,299.6083741369,79.8492463102,-0.0002679018248163,8.535407086203e-05,8.555309453980998e-05,-0.0002679070036445,300.08733019,80.29290992999998,299.15133369,80.29227957,299.13207847,79.4258035,300.06263306,79.42654127999998,3.0
